collection,collection_url,collection_address,asset_contract_address,cursor,ascending,page_num,n_request,limit
Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMyswMyUzQTQxJTNBMDguNjMzNTY4Ji1waz03MDU4OTQ0MTM2,TRUE,1,100,100
Mutant Ape Yacht Club,https://opensea.io/collection/mutant-ape-yacht-club,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMyswNyUzQTU3JTNBMjUuNDAxNDY3Ji1waz03MDYwMTc2NTgw,TRUE,1,100,100
Azuki,https://opensea.io/collection/azuki,0xED5AF388653567Af2F388E6224dC7C4b3241C544,0xED5AF388653567Af2F388E6224dC7C4b3241C544,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMyswNiUzQTExJTNBMjkmLXBrPTcwNTk2Nzg5Njc=,TRUE,1,100,100
CLONE X - X TAKASHI MURAKAMI,https://opensea.io/collection/clonex,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMysyMSUzQTE3JTNBMzYuNzIzNzY0Ji1waz03MDY1MDAzMzM0,TRUE,1,100,100
Moonbirds,https://opensea.io/collection/proof-moonbirds,0x23581767a106ae21c074b2276D25e5C3e136a68b,0x23581767a106ae21c074b2276D25e5C3e136a68b,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOCsyMyUzQTU1JTNBMjcmLXBrPTcxMDM5ODMwMjg=,TRUE,1,100,100
Doodles,https://opensea.io/collection/doodles-official,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMysyMiUzQTE3JTNBNDEuNDEzMjk0Ji1waz03MDY1MzkxMjk1,TRUE,1,100,100
Meebits,https://opensea.io/collection/meebits,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOCsyMyUzQTExJTNBMDguNjc0MDg1Ji1waz03MTAzODA3NDky,TRUE,1,100,100
Cool Cats NFT,https://opensea.io/collection/cool-cats-nft,0x1A92f7381B9F03921564a437210bB9396471050C,0x1A92f7381B9F03921564a437210bB9396471050C,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOCsyMyUzQTQ3JTNBMjkuODE2Mjk3Ji1waz03MTAzOTUwMjY1,TRUE,1,100,100
Bored Ape Kennel Club,https://opensea.io/collection/bored-ape-kennel-club,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswMyUzQTM2JTNBMDIuNDY1MTE2Ji1waz03MTA0ODE1MzAw,TRUE,1,100,100
CrypToadz by GREMPLIN,https://opensea.io/collection/cryptoadz-by-gremplin,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswNCUzQTExJTNBMzMuMzQ4NzM4Ji1waz03MTA0OTU0NDgx,TRUE,1,100,100
World of Women,https://opensea.io/collection/world-of-women-nft,0xe785E82358879F061BC3dcAC6f0444462D4b5330,0xe785E82358879F061BC3dcAC6f0444462D4b5330,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswMCUzQTUwJTNBMzQuOTQ0NDQyJi1waz03MTA0MTczNTQw,TRUE,1,100,100
HAPE PRIME,https://opensea.io/collection/hapeprime,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswNCUzQTE4JTNBMjguMDYzODc1Ji1waz03MTA0OTgwODAz,TRUE,1,100,100
MekaVerse,https://opensea.io/collection/mekaverse,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNSsxMSUzQTM1JTNBNDAuNTc1MDgzJi1waz03MTQzNTY0NTA0,TRUE,1,100,100
Karafuru,https://opensea.io/collection/karafuru,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNSsxMyUzQTUzJTNBMjQuODY0NzkzJi1waz03MTQ0MDk0MDkx,TRUE,1,100,100
Invisible Friends,https://opensea.io/collection/invisiblefriends,0x59468516a8259058baD1cA5F8f4BFF190d30E066,0x59468516a8259058baD1cA5F8f4BFF190d30E066,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xMysyMSUzQTQ5JTNBMTcuMjcwMjM0Ji1waz03MTM1MDA2NzYz,TRUE,1,100,100
mfers,https://opensea.io/collection/mfers,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xMysyMSUzQTM3JTNBMDMuNDkxNjc2Ji1waz03MTM0OTYwNDUx,TRUE,1,100,100
PhantaBear,https://opensea.io/collection/phantabear,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNSsxMSUzQTA4JTNBMjAuNDEzNTk3Ji1waz03MTQzNDcwMzk3,TRUE,1,100,100
CyberKongz VX,https://opensea.io/collection/cyberkongz-vx,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNSsxMSUzQTUzJTNBMTEuMzQ2ODQ3Ji1waz03MTQzNjI4OTAy,TRUE,1,100,100
Cool Pets NFT,https://opensea.io/collection/coolpetsnft,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNiswMCUzQTE2JTNBNDQuODA3NzIyJi1waz03MTQ2NDkyNjEz,TRUE,1,100,100
Lazy Lions,https://opensea.io/collection/lazy-lions,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNiswNSUzQTI2JTNBMzcuNzM5MzI4Ji1waz03MTQ3NjExMTc2,TRUE,1,100,100
Kaiju Kingz,https://opensea.io/collection/kaiju-kingz,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xNiswMyUzQTIzJTNBMjUmLXBrPTcxNDcxNzQ5MzY=,TRUE,1,100,100
goblintown.wtf,https://opensea.io/collection/goblintownwtf,0xbCe3781ae7Ca1a5e050Bd9C4c77369867eBc307e,0xbCe3781ae7Ca1a5e050Bd9C4c77369867eBc307e,,TRUE,1,100,100
mcgoblinwtf,https://opensea.io/collection/mcgoblinwtf,0xc5B52253f5225835cc81C52cdb3d6A22bc3B0c93,0xc5B52253f5225835cc81C52cdb3d6A22bc3B0c93,,TRUE,1,100,100
CryptoPunks,https://opensea.io/collection/cryptopunks,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,,TRUE,1,100,100
Otherdeed for Otherside,https://opensea.io/collection/otherdeed,0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258,0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258,,TRUE,1,100,100
Loot (for Adventurers),https://opensea.io/collection/lootproject,0xFF9C1b15B16263C61d017ee9F65C50e4AE0113D7,0xFF9C1b15B16263C61d017ee9F65C50e4AE0113D7,,TRUE,1,100,100
CryptoKitties,https://opensea.io/collection/cryptokitties,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,,TRUE,1,100,100
Parallel Alpha,https://opensea.io/collection/parallelalpha,0x76BE3b62873462d2142405439777e971754E8E77,0x76BE3b62873462d2142405439777e971754E8E77,,TRUE,1,100,100
BEANZ Official,https://opensea.io/collection/beanzofficial,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,,TRUE,1,100,100
Bored Ape Chemistry Club,https://opensea.io/collection/bored-ape-chemistry-club,0x22c36BfdCef207F9c0CC941936eff94D4246d14A,0x22c36BfdCef207F9c0CC941936eff94D4246d14A,,TRUE,1,100,100
Pudgy Penguins,https://opensea.io/collection/pudgypenguins,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,,TRUE,1,100,100
VeeFriends,https://opensea.io/collection/veefriends,0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB,0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB,,TRUE,1,100,100
RTFKT - MNLTH,https://opensea.io/collection/rtfkt-mnlth,0x86825dFCa7A6224cfBd2DA48e85DF2fc3Aa7C4B1,0x86825dFCa7A6224cfBd2DA48e85DF2fc3Aa7C4B1,,TRUE,1,100,100
Sorare,https://opensea.io/collection/sorare,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,,TRUE,1,100,100
NFT Worlds,https://opensea.io/collection/nft-worlds,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,,TRUE,1,100,100
0N1 Force,https://opensea.io/collection/0n1-force,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,,TRUE,1,100,100
Murakami.Flowers Seed,https://opensea.io/collection/murakami-flowers-seed,0x341A1c534248966c4b6AFaD165B98DAED4B964ef,0x341A1c534248966c4b6AFaD165B98DAED4B964ef,,TRUE,1,100,100
ZED RUN Legacy,https://opensea.io/collection/zed-run-legacy,0xA5F1Ea7DF861952863dF2e8d1312f7305dabf215,0xA5F1Ea7DF861952863dF2e8d1312f7305dabf215,,TRUE,1,100,100
ENS: Ethereum Name Service,https://opensea.io/collection/ens,0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85,0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85,,TRUE,1,100,100
adidas Originals Into the Metaverse,https://opensea.io/collection/adidasoriginals,0x28472a58A490c5e09A238847F66A68a47cC76f0f,0x28472a58A490c5e09A238847F66A68a47cC76f0f,,TRUE,1,100,100
PXN: Ghost Division,https://opensea.io/collection/pxnghostdivision,0x160C404B2b49CBC3240055CEaEE026df1e8497A0,0x160C404B2b49CBC3240055CEaEE026df1e8497A0,,TRUE,1,100,100
Hashmasks,https://opensea.io/collection/hashmasks,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,,TRUE,1,100,100
My Curio Cards,https://opensea.io/collection/curiocardswrapper,0x73DA73EF3a6982109c4d5BDb0dB9dd3E3783f313,0x73DA73EF3a6982109c4d5BDb0dB9dd3E3783f313,,TRUE,1,100,100
RTFKT - CloneX Mintvial,https://opensea.io/collection/clonex-mintvial,0x348FC118bcC65a92dC033A951aF153d14D945312,0x348FC118bcC65a92dC033A951aF153d14D945312,,TRUE,1,100,100
FLUF World,https://opensea.io/collection/fluf,0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d,0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d,,TRUE,1,100,100
Creature World,https://opensea.io/collection/creatureworld,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,,TRUE,1,100,100
3Landers,https://opensea.io/collection/3landers,0xb4d06d46A8285F4EC79Fd294F78a881799d8cEd9,0xb4d06d46A8285F4EC79Fd294F78a881799d8cEd9,,TRUE,1,100,100
CyberBrokers,https://opensea.io/collection/cyberbrokers,0x892848074ddeA461A15f337250Da3ce55580CA85,0x892848074ddeA461A15f337250Da3ce55580CA85,,TRUE,1,100,100
Prime Ape Planet PAP,https://opensea.io/collection/primeapeplanetpap,0x6632a9d63E142F17a668064D41A21193b49B41a0,0x6632a9d63E142F17a668064D41A21193b49B41a0,,TRUE,1,100,100
The Doge Pound,https://opensea.io/collection/the-doge-pound,0xF4ee95274741437636e748DdAc70818B4ED7d043,0xF4ee95274741437636e748DdAc70818B4ED7d043,,TRUE,1,100,100
DeadFellaz,https://opensea.io/collection/deadfellaz,0x2acAb3DEa77832C09420663b0E1cB386031bA17B,0x2acAb3DEa77832C09420663b0E1cB386031bA17B,,TRUE,1,100,100
World of Women Galaxy,https://opensea.io/collection/world-of-women-galaxy,0xf61F24c2d93bF2dE187546B14425BF631F28d6dC,0xf61F24c2d93bF2dE187546B14425BF631F28d6dC,,TRUE,1,100,100
Creepz Genesis,https://opensea.io/collection/genesis-creepz,0xfE8C6d19365453D26af321D0e8c910428c23873F,0xfE8C6d19365453D26af321D0e8c910428c23873F,,TRUE,1,100,100
alien frens,https://opensea.io/collection/alienfrensnft,0x123b30E25973FeCd8354dd5f41Cc45A3065eF88C,0x123b30E25973FeCd8354dd5f41Cc45A3065eF88C,,TRUE,1,100,100
VeeFriends Series 2,https://opensea.io/collection/veefriends-series-2,0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18,0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18,,TRUE,1,100,100
Axie Infinity,https://opensea.io/collection/axie,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,,TRUE,1,100,100
Zipcy's SuperNormal,https://opensea.io/collection/supernormalbyzipcy,0xd532b88607B1877Fe20c181CBa2550E3BbD6B31C,0xd532b88607B1877Fe20c181CBa2550E3BbD6B31C,,TRUE,1,100,100
CyberKongz,https://opensea.io/collection/cyberkongz,0x57a204AA1042f6E66DD7730813f4024114d74f37,0x57a204AA1042f6E66DD7730813f4024114d74f37,,TRUE,1,100,100
Coolman's Universe,https://opensea.io/collection/coolmans-universe,0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,,TRUE,1,100,100
Voxels (formerly Cryptovoxels),https://opensea.io/collection/cryptovoxels,0x79986aF15539de2db9A5086382daEdA917A9CF0C,0x79986aF15539de2db9A5086382daEdA917A9CF0C,,TRUE,1,100,100
Metroverse Genesis,https://opensea.io/collection/metroverse-genesis,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,,TRUE,1,100,100
VOX Collectibles,https://opensea.io/collection/collectvoxtownstar,0xad9Fd7cB4fC7A0fBCE08d64068f60CbDE22Ed34C,0xad9Fd7cB4fC7A0fBCE08d64068f60CbDE22Ed34C,,TRUE,1,100,100
Psychedelics Anonymous Genesis,https://opensea.io/collection/psychedelics-anonymous-genesis,0x75E95ba5997Eb235F40eCF8347cDb11F18ff640B,0x75E95ba5997Eb235F40eCF8347cDb11F18ff640B,,TRUE,1,100,100
Worldwide Webb Land,https://opensea.io/collection/worldwidewebbland,0xA1D4657e0E6507D5a94d06DA93E94dC7C8c44b51,0xA1D4657e0E6507D5a94d06DA93E94dC7C8c44b51,,TRUE,1,100,100
Capsule House,https://opensea.io/collection/capsulehouse,0xfcB1315C4273954F74Cb16D5b663DBF479EEC62e,0xfcB1315C4273954F74Cb16D5b663DBF479EEC62e,,TRUE,1,100,100
Town Star,https://opensea.io/collection/town-star,0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,,TRUE,1,100,100
SupDucks,https://opensea.io/collection/supducks,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,,TRUE,1,100,100
Gutter Cat Gang,https://opensea.io/collection/guttercatgang,0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452,0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452,,TRUE,1,100,100
Lives of Asuna,https://opensea.io/collection/livesofasuna,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,,TRUE,1,100,100
Sneaky Vampire Syndicate,https://opensea.io/collection/sneaky-vampire-syndicate,0x219B8aB790dECC32444a6600971c7C3718252539,0x219B8aB790dECC32444a6600971c7C3718252539,,TRUE,1,100,100
Wolf Game,https://opensea.io/collection/wolf-game,0x7F36182DeE28c45dE6072a34D29855BaE76DBe2f,0x7F36182DeE28c45dE6072a34D29855BaE76DBe2f,,TRUE,1,100,100
Adam Bomb Squad,https://opensea.io/collection/adam-bomb-squad,0x7AB2352b1D2e185560494D5e577F9D3c238b78C5,0x7AB2352b1D2e185560494D5e577F9D3c238b78C5,,TRUE,1,100,100
CryptoSkulls,https://opensea.io/collection/cryptoskulls,0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9,0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9,,TRUE,1,100,100
Killer GF,https://opensea.io/collection/killergf,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,,TRUE,1,100,100
Damien Hirst - The Currency,https://opensea.io/collection/thecurrency,0xaaDc2D4261199ce24A4B0a57370c4FCf43BB60aa,0xaaDc2D4261199ce24A4B0a57370c4FCf43BB60aa,,TRUE,1,100,100
MURI by Haus,https://opensea.io/collection/murixhaus,0x4B61413D4392c806E6d0fF5Ee91E6073C21d6430,0x4B61413D4392c806E6d0fF5Ee91E6073C21d6430,,TRUE,1,100,100
888 inner circle,https://opensea.io/collection/888innercircle,0x36d30B3b85255473D27dd0F7fD8F35e36a9d6F06,0x36d30B3b85255473D27dd0F7fD8F35e36a9d6F06,,TRUE,1,100,100
NeoTokyo Outer Identities,https://opensea.io/collection/neotokyo-outer-identities,0x698FbAACA64944376e2CDC4CAD86eaa91362cF54,0x698FbAACA64944376e2CDC4CAD86eaa91362cF54,,TRUE,1,100,100
Autoglyphs,https://opensea.io/collection/autoglyphs,0xd4e4078ca3495DE5B1d4dB434BEbc5a986197782,0xd4e4078ca3495DE5B1d4dB434BEbc5a986197782,,TRUE,1,100,100
Impostors Genesis Aliens,https://opensea.io/collection/impostors-genesis-aliens,0x3110EF5f612208724CA51F5761A69081809F03B7,0x3110EF5f612208724CA51F5761A69081809F03B7,,TRUE,1,100,100
Ragnarok Meta,https://opensea.io/collection/ragnarok-meta,0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8,0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8,,TRUE,1,100,100
CryptoPunks V1 (wrapped),https://opensea.io/collection/official-v1-punks,0x282BDD42f4eb70e7A9D9F40c8fEA0825B7f68C5D,0x282BDD42f4eb70e7A9D9F40c8fEA0825B7f68C5D,,TRUE,1,100,100
JUNGLE FREAKS GENESIS,https://opensea.io/collection/jungle-freaks-genesis,0x7E6Bc952d4b4bD814853301bEe48E99891424de0,0x7E6Bc952d4b4bD814853301bEe48E99891424de0,,TRUE,1,100,100
oncyber labs,https://opensea.io/collection/oncyber,0x226Bf5293692610692E2C996C9875C914d2A7f73,0x226Bf5293692610692E2C996C9875C914d2A7f73,,TRUE,1,100,100
MoonCats,https://opensea.io/collection/acclimatedmooncats,0xc3f733ca98E0daD0386979Eb96fb1722A1A05E69,0xc3f733ca98E0daD0386979Eb96fb1722A1A05E69,,TRUE,1,100,100
